university_id,name,degree,language,duration,tuition,requirements,details,priority
altinbas-university,Accounting and Auditing,Master With Thesis,Turkish,2 Years,"5,865 USD",null,null,
altinbas-university,Aesthetic Dentistry,Master Non Thesis,English,1.5 Years,"16,200 USD",null,null,
altinbas-university,Anesthesia,Associate,Turkish,2 Years,"2,500 USD",null,null,
altinbas-university,Architecture,Bachelor,English,4 Years,"5,100 USD",null,null,
altinbas-university,Architecture,Master With Thesis,English,2 Years,"5,865 USD",null,null,
altinbas-university,Arts and Design,Master With Thesis,Turkish,2 Years,"5,865 USD",null,null,
altinbas-university,Audiometry,Associate,Turkish,2 Years,"2,500 USD",null,null,
altinbas-university,Biomedical Sciences,Master With Thesis,Turkish,2 Years,"6,900 USD",null,null,
altinbas-university,Biomedical Sciences,Master With Thesis,English,2 Years,"6,900 USD",null,null,
altinbas-university,Business Administration,Bachelor,English,4 Years,"5,100 USD",null,null,
altinbas-university,Business Administration,PhD,English,4 Years,"9,900 USD",null,null,
altinbas-university,Business Administration,PhD,Turkish,4 Years,"9,900 USD",null,null,
altinbas-university,Business Administration,Master With Thesis,Turkish,2 Years,"5,865 USD",null,null,
altinbas-university,Business Administration,Master With Thesis,English,2 Years,"5,865 USD",null,null,
altinbas-university,Civil Engineering,Bachelor,English,4 Years,"5,100 USD",null,null,
altinbas-university,Civil Engineering,Master With Thesis,English,2 Years,"5,865 USD",null,null,
altinbas-university,Clinical Periodontology,Master With Thesis,English,3 Years,"16,200 USD",null,null,
altinbas-university,Clinical Psychology,Master Non Thesis,Turkish,1.5 Years,"5,805 USD",null,null,
altinbas-university,Computer Engineering,Bachelor,English,4 Years,"5,100 USD",null,null,
altinbas-university,Data Analytics,Master With Thesis,English,2 Years,"5,865 USD",null,null,
altinbas-university,Data Analytics,Master Non Thesis,English,1.5 Years,"5,865 USD",null,null,
altinbas-university,Dentistry,Bachelor,English,5 Years,"19,800 USD",null,null,
altinbas-university,Economics,Bachelor,English,4 Years,"4,250 USD",null,null,
altinbas-university,Electrical and Computer Engineering,PhD,Turkish,4 Years,"9,900 USD",null,null,
altinbas-university,Electrical and Computer Engineering,PhD,English,4 Years,"9,900 USD",null,null,
altinbas-university,Electrical and Computer Engineering,Master With Thesis,Turkish,2 Years,"5,865 USD",null,null,
altinbas-university,Electrical and Computer Engineering,Master With Thesis,English,2 Years,"5,865 USD",null,null,
altinbas-university,Electrical and Electronic Engineering,Bachelor,English,4 Years,"5,100 USD",null,null,
altinbas-university,Emergency and First Aid,Associate,Turkish,2 Years,"2,500 USD",null,null,
altinbas-university,Financial Economics,Master Non Thesis,Turkish,1.5 Years,"5,865 USD",null,null,
altinbas-university,Gastronomy and Culinary Arts,Bachelor,Turkish,4 Years,"4,250 USD",null,null,
altinbas-university,Health Management,Bachelor,Turkish,4 Years,"4,250 USD",null,null,
altinbas-university,Health Management,PhD,Turkish,4 Years,"19,800 USD",null,null,
altinbas-university,Histology and Embryology,Master With Thesis,Turkish,2 Years,"6,900 USD",null,null,
altinbas-university,Industrial Engineering,Bachelor,English,4 Years,"5,100 USD",null,null,
altinbas-university,Industrial Engineering,Master With Thesis,Turkish,2 Years,"5,865 USD",null,null,
altinbas-university,Industrial Engineering,Master With Thesis,English,2 Years,"5,865 USD",null,null,
altinbas-university,Information Technology,Master With Thesis,Turkish,2 Years,"5,865 USD",null,null,
altinbas-university,Information Technology,Master With Thesis,English,2 Years,"5,865 USD",null,null,
altinbas-university,Interior Architecture and Environmental Design,Bachelor,English,4 Years,"5,100 USD",null,null,
altinbas-university,Interior Architecture and Environmental Design,Bachelor,Turkish,4 Years,"4,250 USD",null,null,
altinbas-university,International Relations,Bachelor,English,4 Years,"4,250 USD",null,null,
altinbas-university,International Relations Joint,PhD,Turkish,4 Years,"9,900 USD",null,null,
altinbas-university,International Relations Joint,PhD,English,4 Years,"9,900 USD",null,null,
altinbas-university,International Taxation,Master Non Thesis,Turkish,1.5 Years,"5,865 USD",null,null,
altinbas-university,International Taxation,Master Non Thesis,English,1.5 Years,"5,865 USD",null,null,
altinbas-university,International Trade and Finance,Bachelor,English,4 Years,"4,250 USD",null,null,
altinbas-university,International Trade Law,Master Non Thesis,English,1.5 Years,"5,865 USD",null,null,
altinbas-university,International Trade Law,Master With Thesis,Turkish,2 Years,"5,865 USD",null,null,
altinbas-university,Jewelry Technology and Design,Bachelor,Turkish,4 Years,"4,250 USD",null,null,
altinbas-university,Law,Bachelor,German,4 Years,"5,525 USD",null,null,
altinbas-university,Law,Bachelor,Turkish,4 Years,"5,525 USD",null,null,
altinbas-university,Logistics Management,Bachelor,English,4 Years,"4,250 USD",null,null,
altinbas-university,Marketing,Bachelor,English,4 Years,"5,100 USD",null,null,
altinbas-university,Mechanical Engineering,Bachelor,English,4 Years,"5,100 USD",null,null,
altinbas-university,Mechanical Engineering,Master With Thesis,English,2 Years,"5,865 USD",null,null,
altinbas-university,Medical Documentation and Secretarial,Associate,Turkish,2 Years,"2,500 USD",null,null,
altinbas-university,Medical Imaging Techniques,Associate,Turkish,2 Years,"2,500 USD",null,null,
altinbas-university,Medical Laboratory,Associate,Turkish,2 Years,"2,500 USD",null,null,
altinbas-university,Medicine,Bachelor,English,6 Years,"22,500 USD",null,null,
altinbas-university,Midwifery,Bachelor,Turkish,4 Years,"4,250 USD",null,null,
altinbas-university,Nursing,Bachelor,Turkish,4 Years,"4,250 USD",null,null,
altinbas-university,Operating Room Services,Associate,Turkish,2 Years,"2,500 USD",null,null,
altinbas-university,Opticianry,Associate,Turkish,2 Years,"2,500 USD",null,null,
altinbas-university,Oral and Dental Health,Associate,Turkish,2 Years,"2,500 USD",null,null,
altinbas-university,Orthodontics,Master With Thesis,English,3 Years,"25,000 USD",null,null,
altinbas-university,Orthodontics,PhD,Turkish,4 Years,"25,000 USD",null,null,
altinbas-university,Orthodontics,Master With Thesis,Turkish,3 Years,"25,000 USD",null,null,
altinbas-university,Pediatric Dentistry,Master With Thesis,Turkish,3 Years,"16,200 USD",null,null,
altinbas-university,Pediatric Dentistry,PhD,Turkish,4 Years,"19,800 USD",null,null,
altinbas-university,Periodontology,PhD,English,4 Years,"19,800 USD",null,null,
altinbas-university,Periodontology,Master With Thesis,Turkish,3 Years,"16,200 USD",null,null,
altinbas-university,Pharmaceutical Sciences,PhD,Turkish,4 Years,"19,800 USD",null,null,
altinbas-university,Pharmacy,Bachelor,English,5 Years,"10,800 USD",null,null,
altinbas-university,Pharmacy Services,Associate,Turkish,2 Years,"2,500 USD",null,null,
altinbas-university,Physiotherapy,Associate,Turkish,2 Years,"2,500 USD",null,null,
altinbas-university,Political Science and International Relations,Master With Thesis,Turkish,2 Years,"5,865 USD",null,null,
altinbas-university,Political Science and International Relations,Master With Thesis,English,2 Years,"5,865 USD",null,null,
altinbas-university,Political Science and Public Administration,Bachelor,English,4 Years,"4,250 USD",null,null,
altinbas-university,Private Law,Master Non Thesis,Turkish,1.5 Years,"5,865 USD",null,null,
altinbas-university,Private Law,PhD,Turkish,4 Years,"9,900 USD",null,null,
altinbas-university,Prosthetic Dental Treatment,PhD,Turkish,4 Years,"19,800 USD",null,null,
altinbas-university,Psychology,Bachelor,English,4 Years,"5,100 USD",null,null,
altinbas-university,Psychology,Master Non Thesis,Turkish,1.5 Years,"10,625 USD",null,null,
altinbas-university,Public Law,Master With Thesis,Turkish,2 Years,"5,865 USD",null,null,
altinbas-university,Public Law,PhD,Turkish,4 Years,"9,900 USD",null,null,
altinbas-university,Public Relations and Advertising,Bachelor,Turkish,4 Years,"4,250 USD",null,null,
altinbas-university,"Radio, Tv and Cinema",Bachelor,Turkish,4 Years,"4,250 USD",null,null,
altinbas-university,Radiotherapy,Associate,Turkish,2 Years,"2,500 USD",null,null,
altinbas-university,Sociology,Bachelor,Turkish,4 Years,"4,250 USD",null,null,
altinbas-university,Sociology,Bachelor,English,4 Years,"4,250 USD",null,null,
altinbas-university,Software Development,Bachelor,Turkish,4 Years,"4,250 USD",null,null,
altinbas-university,Software Engineering,Bachelor,English,4 Years,"5,100 USD",null,null,
altinbas-university,Strategic Marketing and Brand Management,Master With Thesis,Turkish,2 Years,"5,865 USD",null,null,
altinbas-university,Visual Communication Design,Bachelor,Turkish,4 Years,"4,250 USD",null,null,
anadolu-university,Business Administration,Bachelor,Turkish,4 years,"50,000 TL",null,null,
anadolu-university,Cartoon and Animation,Bachelor,Turkish,4 years,"60,000 TL",null,null,
anadolu-university,Ceramic Arts,Bachelor,Turkish,4 years,"60,000 TL",null,null,
anadolu-university,Computer Education and Instructional Technology,Bachelor,Turkish,4 years,"45,000 TL",null,null,
anadolu-university,Economics,Bachelor,Turkish,4 years,"50,000 TL",null,null,
anadolu-university,Educational Sciences,Bachelor,Turkish,4 years,"45,000 TL",null,null,
anadolu-university,Fine Arts Education,Bachelor,Turkish,4 years,"45,000 TL",null,null,
anadolu-university,Foreign Language Education,Bachelor,Turkish,4 years,"45,000 TL",null,null,
anadolu-university,Gastronomy and Culinary Arts,Bachelor,Turkish,4 years,"90,000 TL",null,null,
anadolu-university,Glass,Bachelor,Turkish,4 years,"60,000 TL",null,null,
anadolu-university,Graphic Arts,Bachelor,Turkish,4 years,"60,000 TL",null,null,
anadolu-university,Labour Economics and Industrial Relations,Bachelor,Turkish,4 years,"50,000 TL",null,null,
anadolu-university,Language and Speech Therapy,Bachelor,Turkish,4 years,"45,000 TL",null,null,
anadolu-university,Law,Bachelor,Turkish,4 years,"70,000 TL",null,null,
anadolu-university,Mathematics and Science Education,Bachelor,Turkish,4 years,"45,000 TL",null,null,
anadolu-university,Painting,Bachelor,Turkish,4 years,"60,000 TL",null,null,
anadolu-university,Pharmacy,Bachelor,Turkish,5 years,"130,000 TL",null,null,
anadolu-university,Political Science and Public Administration,Bachelor,Turkish,4 years,"50,000 TL",null,null,
anadolu-university,Primary Education,Bachelor,Turkish,4 years,"45,000 TL",null,null,
anadolu-university,Printmaking,Bachelor,Turkish,4 years,"60,000 TL",null,null,
anadolu-university,Public Finance,Bachelor,Turkish,4 years,"50,000 TL",null,null,
anadolu-university,Sculpture,Bachelor,Turkish,4 years,"60,000 TL",null,null,
anadolu-university,Social Services,Bachelor,Turkish,4 years,"45,000 TL",null,null,
anadolu-university,Special Education,Bachelor,Turkish,4 years,"45,000 TL",null,null,
anadolu-university,Tour Guiding,Bachelor,Turkish,4 years,"50,000 TL",null,null,
anadolu-university,Tourism Management,Bachelor,Turkish,4 years,"50,000 TL",null,null,
anadolu-university,Turkish and Social Sciences Education,Bachelor,Turkish,4 years,"45,000 TL",null,null,
atlas-university,Anatomy,Master With Thesis,Turkish,2 Years,"6,674 USD",null,null,
atlas-university,Anesthesia,Associate,Turkish,2 Years,"2,610 USD",null,null,
atlas-university,Biomedical Engineering,Bachelor,English,4 Years,"5,670 USD",null,null,
atlas-university,Business Administration,Bachelor,English,4 Years,"4,959 USD",null,null,
atlas-university,Cognitive Rehabilitation,Master Non Thesis,Turkish,1.5 Years,"4,766 USD",null,null,
atlas-university,Computer Engineering,Bachelor,Turkish,4 Years,"4,995 USD",null,null,
atlas-university,Computer Engineering,Bachelor,English,4 Years,"5,670 USD",null,null,
atlas-university,Computer Engineering,PhD,English,4 Years,"14,850 USD",null,null,
atlas-university,Computer Engineering,Master With Thesis,Turkish,2 Years,"6,674 USD",null,null,
atlas-university,Computer Engineering,Master With Thesis,English,2 Years,"6,674 USD",null,null,
atlas-university,Computer Programming,Associate,Turkish,2 Years,"2,610 USD",null,null,
atlas-university,Data Science and Analytics,Bachelor,English,4 Years,"5,670 USD",null,null,
atlas-university,Dental Prosthetics Technology,Associate,Turkish,2 Years,"2,610 USD",null,null,
atlas-university,Dentistry,Bachelor,English,4 Years,"21,204 USD",null,null,
atlas-university,Dentistry,Bachelor,Turkish,5 Years,"16,677 USD",null,null,
atlas-university,Dialysis,Associate,Turkish,2 Years,"2,610 USD",null,null,
atlas-university,Digital Game Design,Bachelor,Turkish,4 Years,"4,660 USD",null,null,
atlas-university,E-commerce and Marketing,Associate,Turkish,2 Years,"2,610 USD",null,null,
atlas-university,Elderly Care,Associate,Turkish,2 Years,"2,610 USD",null,null,
atlas-university,Electrical and Electronic Engineering,Bachelor,English,4 Years,"4,995 USD",null,null,
atlas-university,Electrical and Electronic Engineering,Master With Thesis,English,2 Years,"6,674 USD",null,null,
atlas-university,Emergency and First Aid,Associate,Turkish,2 Years,"2,610 USD",null,null,
atlas-university,English Language and Literature,Bachelor,English,4 Years,"4,194 USD",null,null,
atlas-university,Environmental Health,Associate,Turkish,2 Years,"2,610 USD",null,null,
atlas-university,Ergotherapy,Bachelor,Turkish,4 Years,"4,050 USD",null,null,
atlas-university,Ergotherapy,Master With Thesis,Turkish,2 Years,"6,674 USD",null,null,
atlas-university,Graphic Design,Associate,Turkish,2 Years,"2,610 USD",null,null,
atlas-university,Green and Ecological Building Technician,Associate,Turkish,2 Years,"2,610 USD",null,null,
atlas-university,Histology and Embryology,Master With Thesis,Turkish,2 Years,"6,674 USD",null,null,
atlas-university,Industrial Design,Bachelor,Turkish,4 Years,"4,660 USD",null,null,
atlas-university,Industrial Engineering,Bachelor,English,4 Years,"4,995 USD",null,null,
atlas-university,Industrial Engineering,Master With Thesis,English,2 Years,"6,674 USD",null,null,
atlas-university,Information Security Technology,Associate,Turkish,2 Years,"2,610 USD",null,null,
atlas-university,Information Technology,Master With Thesis,English,2 Years,"6,674 USD",null,null,
atlas-university,Interior Architecture and Environmental Design,Bachelor,Turkish,4 Years,"6,000 USD",null,null,
atlas-university,Interior Design,Associate,Turkish,2 Years,"2,610 USD",null,null,
atlas-university,Internal Diseases Nursing,Master With Thesis,Turkish,2 Years,"6,674 USD",null,null,
atlas-university,Internal Medicine Nursing,Master With Thesis,Turkish,2 Years,"4,050 USD",null,null,
atlas-university,International Trade and Finance,Bachelor,English,4 Years,"4,959 USD",null,null,
atlas-university,Logistics,Associate,Turkish,2 Years,"2,610 USD",null,null,
atlas-university,Management Information Systems,Bachelor,English,4 Years,"4,959 USD",null,null,
atlas-university,Medical Biochemistry,Master With Thesis,Turkish,2 Years,"6,674 USD",null,null,
atlas-university,Medical Biology and Genetics,Master With Thesis,Turkish,2 Years,"6,674 USD",null,null,
atlas-university,Medical Imaging Techniques,Associate,Turkish,2 Years,"2,610 USD",null,null,
atlas-university,Medical Laboratory,Associate,Turkish,2 Years,"2,610 USD",null,null,
atlas-university,Medical Microbiology,Master With Thesis,Turkish,2 Years,"4,050 USD",null,null,
atlas-university,Medical Pharmacology,Master With Thesis,Turkish,2 Years,"6,674 USD",null,null,
atlas-university,Medical Promotion and Marketing,Associate,Turkish,2 Years,"2,610 USD",null,null,
atlas-university,Medicine,Bachelor,Turkish,6 Years,"18,000 USD",null,null,
atlas-university,Medicine,Bachelor,English,6 Years,"22,500 USD",null,null,
atlas-university,Midwifery,Bachelor,Turkish,4 Years,"4,050 USD",null,null,
atlas-university,Midwifery,Master With Thesis,Turkish,2 Years,"6,674 USD",null,null,
atlas-university,Midwifery,Master Non Thesis,Turkish,1.5 Years,"4,766 USD",null,null,
atlas-university,Molecular Biology and Genetics,Bachelor,English,4 Years,"4,995 USD",null,null,
atlas-university,Molecular Biology and Genetics,Master With Thesis,English,2 Years,"6,674 USD",null,null,
atlas-university,Molecular Biology and Genetics,Master With Thesis,Turkish,2 Years,"6,674 USD",null,null,
atlas-university,Neuroscience,Master Non Thesis,Turkish,1.5 Years,"4,766 USD",null,null,
atlas-university,Neuroscience,Master With Thesis,Turkish,2 Years,"6,674 USD",null,null,
atlas-university,Nursing,Bachelor,Turkish,4 Years,"5,200 USD",null,null,
atlas-university,Nursing,Bachelor,English,4 Years,"5,310 USD",null,null,
atlas-university,Nutrition and Dietetics,Bachelor,Turkish,4 Years,"4,500 USD",null,null,
atlas-university,Nutrition and Dietetics,Master Non Thesis,Turkish,1.5 Years,"4,766 USD",null,null,
atlas-university,Nutrition and Dietetics,Master With Thesis,Turkish,2 Years,"6,674 USD",null,null,
atlas-university,Obstetrics and Gynecology Nursing,Master With Thesis,Turkish,2 Years,"6,674 USD",null,null,
atlas-university,Occupational Therapy,Bachelor,Turkish,4 Years,"4,050 USD",null,null,
atlas-university,Occupational Therapy,Master With Thesis,Turkish,2 Years,"6,674 USD",null,null,
atlas-university,Operating Room Services,Associate,Turkish,2 Years,"2,610 USD",null,null,
atlas-university,Opticianry,Associate,Turkish,2 Years,"2,610 USD",null,null,
atlas-university,Oral and Dental Health,Associate,Turkish,2 Years,"2,610 USD",null,null,
atlas-university,Physiology,Master With Thesis,Turkish,2 Years,"6,674 USD",null,null,
atlas-university,Physiotherapy,Associate,Turkish,2 Years,"2,610 USD",null,null,
atlas-university,Physiotherapy and Rehabilitation,Bachelor,English,4 Years,"5,310 USD",null,null,
atlas-university,Physiotherapy and Rehabilitation,Bachelor,Turkish,4 Years,"5,200 USD",null,null,
atlas-university,Physiotherapy and Rehabilitation,Master With Thesis,Turkish,2 Years,"6,674 USD",null,null,
atlas-university,Psychology,Bachelor,Turkish,4 Years,"4,705 USD",null,null,
atlas-university,Psychology,Bachelor,English,4 Years,"4,959 USD",null,null,
atlas-university,Psychology,PhD,Turkish,4 Years,"14,850 USD",null,null,
atlas-university,Psychology,Master With Thesis,Turkish,2 Years,"7,650 USD",null,null,
atlas-university,Software Engineering,Bachelor,English,4 Years,"5,670 USD",null,null,
atlas-university,Speech and Language Therapy,Bachelor,Turkish,4 Years,"4,500 USD",null,null,
atlas-university,Speech and Language Therapy,Master With Thesis,Turkish,2 Years,"4,050 USD",null,null,
atlas-university,Speech and Language Therapy,Master With Thesis,Turkish,2 Years,"13,500 USD",null,null,
atlas-university,Surgical Disease Nursing,PhD,Turkish,4 Years,"14,850 USD",null,null,
atlas-university,Surgical Disease Nursing,Master With Thesis,Turkish,2 Years,"6,674 USD",null,null,
atlas-university,Surgical Services,Associate,Turkish,2 Years,"2,610 USD",null,null,
atlas-university,Technology and Inovasion,Master Non Thesis,Turkish,1.5 Years,"4,766 USD",null,null,
