id,name,country,type,logo,url,description
altinbas-university,Altınbaş University,Turkey,Private,images/altinbas-university_logo.png,null,null
anadolu-university,Anadolu University,Turkey,Public,images/anadolu-university_logo.png,null,null
atlas-university,Atlas University,Turkey,Private,images/atlas-university_logo.png,null,null
aydin-university,Aydın University,Turkey,Private,images/aydin-university_logo.png,null,null
balikesir-university,Balıkesir University,Turkey,Public,images/balikesir-university_logo.png,null,null
beykent-university,Beykent University,Turkey,Private,images/beykent-university_logo.png,null,null
biruni-university,Biruni University,Turkey,Private,images/biruni-university_logo.png,null,null
bolu-abant-izzet-baysal-university,Bolu University,Turkey,Public,images/bolu-abant-izzet-baysal-university_logo.png,null,null
cankiri-university,Çankırı Karatekin University,Turkey,Public,images/cankiri-university_logo.png,null,null
gelisim-university,Gelişim University,Turkey,Private,images/gelisim-university_logo.png,null,null
halic-university,Haliç University,Turkey,Private,images/halic-university_logo.png,null,null
isik-university,Işık University,Turkey,Private,images/isik-university_logo.png,null,null
karabuk-university,Karabük University,Turkey,Public,images/karabuk-university_logo.png,null,null
kirsehir-university,Kırşehir Ahi Evran University,Turkey,Public,images/kirsehir-university_logo.png,null,null
koc-university,Koç University,Turkey,Private,images/koc-university_logo.png,null,null
kultur-university,Kültür University,Turkey,Private,images/kultur-university_logo.png,null,null
istanbul-medipol-university,Medipol University,Turkey,Private,images/istanbul-medipol-university_logo.png,null,null
nigde-university,Niğde Ömer Halisdemir University,Turkey,Public,images/nigde-university_logo.png,null,null
nisantasi-university,Nişantaşı University,Turkey,Private,images/istanbul-nisantasi-university_logo.png,null,null
sakarya-university,Sakarya Uygulamalı Bilimler Üniversitesi,Turkey,Public,images/sakarya-university_logo.png,null,null
tokat-university,Tokat Gaziosmanpaşa University,Turkey,Public,images/tokat-university_logo.png,null,null
trakya-university,Trakya University,Turkey,Public,images/trakya-university_logo.png,null,null
